step	loss
0	0.08555734157562256
1	0.0854247510433197
2	0.09337461739778519
3	0.10420559346675873
4	0.1039692834019661
5	0.08104818314313889
6	0.08434253931045532
7	0.0778416320681572
8	0.0833345353603363
9	0.076328806579113
10	0.09308584034442902
11	0.0769520103931427
12	0.07483112066984177
13	0.08796799182891846
14	0.10028931498527527
15	0.07999055087566376
16	0.0730661004781723
17	0.07113274186849594
18	0.09148652851581573
19	0.09224921464920044
20	0.08609623461961746
21	0.07817374914884567
22	0.08764436095952988
23	0.15159782767295837
24	0.07590708881616592
25	0.11849851906299591
26	0.0956353172659874
27	0.10113305598497391
28	0.08290598541498184
29	0.09561371803283691
