step	loss
0	3.956237316131592
1	2.9099490642547607
2	2.6046743392944336
3	1.4016165733337402
4	1.158367395401001
5	1.0342116355895996
6	1.0811092853546143
7	0.9005526304244995
8	0.765028178691864
9	0.6868859529495239
10	0.6669924259185791
11	0.6190968155860901
12	0.9411870241165161
13	0.6198052763938904
14	0.5088996291160583
15	0.35053926706314087
16	0.4372233748435974
17	0.35603559017181396
18	0.2938380241394043
19	0.2602694630622864
20	0.31898021697998047
21	0.31481415033340454
22	0.229514941573143
23	0.3616197407245636
24	0.26831963658332825
25	0.26412808895111084
26	0.23790162801742554
27	0.26396194100379944
28	0.20864558219909668
29	0.2231197953224182
